Code,Communes,Part_des_menages
02738,Tergnier,11.6
02739,Terny-Sorny,6.9
02740,Thenailles,3.7
02741,Thenelles,4.9
02742,Thiernu,7.7
02743,Le Thuel,0
02744,Torcy-en-Valois,0
02745,Toulis-et-Attencourt,16.7
02746,Travecy,12.3
02747,Trefcon,12.5
02748,Trélou-sur-Marne,2.8
02749,Troësnes,0
02750,Trosly-Loire,10.3
02751,Trucy,7.7
02752,Tugny-et-Pont,3.8
02753,Tupigny,16.2
02754,Ugny-le-Gay,11.1
02755,Urcel,1.9
02756,Urvillers,6.5
02757,Vadencourt,3.3
02758,Vailly-sur-Aisne,11.3
02759,La Vallée-au-Blé,6.9
02760,La Vallée-Mulâtre,6.7
02761,Variscourt,7.7
02762,Vassens,6.7
02763,Vasseny,0
02764,Vassogne,28.6
02765,Vaucelles-et-Beffecourt,9.1
02766,Vaudesson,17.4
02767,Vauxrezis,3.1
02768,Vauxaillon,2.1
02769,Vaux-Andigny,7.3
02770,Vauxbuin,6.2
02771,Vauxcéré,11.1
02772,Vaux-en-Vermandois,0
02773,Vauxtin,20
02774,Vendelles,0
02775,Vendeuil,3.3
02776,Vendhuile,7.7
02777,Vendières,0
02778,Vendresse-Beaulne,0
02779,Vénérolles,16.7
02780,Venizel,10.2
02781,Verdilly,5.5
02782,Le Verguier,8.7
02783,Grand-Verly,0
02784,Petit-Verly,29.4
02785,Vermand,4.6
02786,Verneuil-sous-Coucy,0
02787,Verneuil-sur-Serre,23.1
02788,Versigny,2.5
02789,Vervins,9.9
02790,Vesles-et-Caumont,5.3
02791,Veslud,4.5
02792,Veuilly-la-Poterie,6.7
02793,Vézaponin,9.1
02794,Vézilly,5.3
02795,Vic-sur-Aisne,7.9
02796,Vichel-Nanteuil,11.1
02797,Viel-Arcy,0
02798,Viels-Maisons,8.7
02799,Vierzy,6.5
02800,Viffort,3.9
02801,Vigneux-Hocquet,0
02802,La Ville-aux-Bois-lès-Dizy,11.1
02803,La Ville-aux-Bois-lès-Pontavert,6.7
02804,Villemontoire,9.5
02805,Villeneuve-Saint-Germain,7.1
02806,Villeneuve-sur-Fère,7.1
02807,Villequier-Aumont,6.8
02808,Villeret,6.9
02809,Villers-Agron-Aiguizy,11.1
02810,Villers-Cotterêts,11.8
02811,Villers-en-Prayères,14.3
02812,Villers-Hélon,5.9
02813,Villers-le-Sec,4.2
02814,Villers-lès-Guise,7.1
02815,Villers-Saint-Christophe,2.2
02816,Villers-sur-Fère,6.3
02817,Ville-Savoye,16.7
02818,Villiers-Saint-Denis,9.1
02819,Vincy-Reuil-et-Magny,23.1
02820,Viry-Noureuil,7.4
02821,Vivaise,9.7
02822,Vivières,2.6
02823,Voharies,0
02824,Vorges,3
02826,Voulpaix,5.4
02827,Voyenne,10
02828,Vregny,0
02829,Vuillery,0
02830,Wassigny,13.9
02831,Watigny,10.8
02832,Wiège-Faty,14.3
02833,Wimy,2.2
02834,Wissignicourt,6.7
59001,Abancourt,9.3
59002,Abscon,7.8
59003,Aibes,2.9
59004,Aix,5.7
59005,Allennes-les-Marais,7.6
59006,Amfroipret,21.1
59007,Anhiers,8.3
59008,Aniche,15.4
59009,Villeneuve-d'Ascq,13.3
59010,Anneux,9.6
59011,Annœullin,10.7
59012,Anor,10.6
59013,Anstaing,7.4
59014,Anzin,12.6
59015,Arleux,6.8
59016,Armbouts-Cappel,4.8
59017,Armentières,12.3
59018,Arnèke,5.6
59019,Artres,5.4
59021,Assevent,12.1
59022,Attiches,8.3
59023,Aubencheul-au-Bac,10
59024,Auberchicourt,10.2
59025,Aubers,8.1
59026,Aubigny-au-Bac,6.3
59027,Aubry-du-Hainaut,9.2
59028,Auby,13.2
59029,Auchy-lez-Orchies,9.3
59031,Audignies,0
59032,Aulnoy-lez-Valenciennes,10
59033,Aulnoye-Aymeries,12.5
59034,Avelin,4.6
59035,Avesnelles,10.8
59036,Avesnes-sur-Helpe,18.4
59037,Avesnes-les-Aubert,9.8
59038,Avesnes-le-Sec,9.3
59039,Awoingt,8.1
59041,Bachant,12.8
59042,Bachy,3.8
59043,Bailleul,9.3
59044,Baisieux,8.3
59045,Baives,6.3
59046,Bambecque,6
59047,Banteux,6.1
59048,Bantigny,11.4
59049,Bantouzelle,0
59050,Bas-Lieu,10.8
59051,La Bassée,11.8
59052,Bauvin,11.2
59053,Bavay,11.9
59054,Bavinchove,6.5
59055,Bazuel,3.5
59056,Beaucamps-Ligny,5.1
59057,Beaudignies,5.2
59058,Beaufort,4
59059,Beaumont-en-Cambrésis,6.3
59060,Beaurain,0
59061,Beaurepaire-sur-Sambre,5
59062,Beaurieux,5.9
59063,Beauvois-en-Cambrésis,9.9
59064,Bellaing,7.8
59065,Bellignies,10.6
59066,Bérelles,6.2
59067,Bergues,11.4
59068,Berlaimont,9.8
59069,Bermerain,3.4
59070,Bermeries,2.9
59071,Bersée,6.5
59072,Bersillies,0
59073,Berthen,3.9
59074,Bertry,8
59075,Béthencourt,8.2
59076,Bettignies,0
59077,Bettrechies,0
59078,Beugnies,8.8
59079,Beuvrages,12.2
59080,Beuvry-la-Forêt,8.5
59081,Bévillers,12.9
59082,Bierne,6
59083,Bissezeele,5
59084,Blaringhem,9.8
59085,Blécourt,7.8
59086,Boeschepe,6.9
59087,Boëseghem,0
59088,Bois-Grenier,7
59089,Bollezeele,5.5
59090,Bondues,9.2
59091,Borre,3.9
59092,Bouchain,8.1
59093,Boulogne-sur-Helpe,6.3
59094,Bourbourg,8.6
59096,Bourghelles,6.8
59097,Boursies,9.7
59098,Bousbecque,6.5
59099,Bousies,11.4
59100,Bousignies,7.4
59101,Bousignies-sur-Roc,14.6
59102,Boussières-en-Cambrésis,3
59103,Boussières-sur-Sambre,15.4
59104,Boussois,15.1
59105,Bouvignies,9.6
59106,Bouvines,9.2
59107,Bray-Dunes,6.8
59108,Briastre,3.1
59109,Brillon,7.2
59110,Brouckerque,5
59111,Broxeele,0
59112,Bruay-sur-l'Escaut,13.4
59113,Bruille-lez-Marchiennes,6.6
59114,Bruille-Saint-Amand,9.4
59115,Brunémont,4.5
59116,Bry,5.4
59117,Bugnicourt,4.3
59118,Busigny,8.1
59119,Buysscheure,6.1
59120,Caëstre,6.1
59121,Cagnoncles,4.5
59122,Cambrai,12.6
59123,Camphin-en-Carembault,8.4
59124,Camphin-en-Pévèle,7.3
59125,Cantaing-sur-Escaut,9.5
59126,Cantin,9.2
59127,Capelle,16.7
59128,Capinghem,11.1
59129,Cappelle-en-Pévèle,9.7
59130,Cappelle-Brouck,3.5
59131,Cappelle-la-Grande,9.3
59132,Carnières,9.9
59133,Carnin,5.4
59134,Cartignies,4.8
59135,Cassel,8.4
